"variant_id","item_id","product_name","category","sku","barcode"
"52dc466f-a88e-45f5-8f20-4ee327eb31ae","3cb5a1a5-a764-461a-8bea-0a5715a2151d","Hollister - Canyon Escape for Men 3.4 EDT SP","Woody","",""
"c3922b56-744a-4c69-a898-4b62e29d6840","3f994014-98b9-498a-a312-ace479630205","Jessica Simpson - Fancy Love 3.4 FL","Floral","",""
"79a18f7e-fe3f-41d1-9cd5-9ef3495d499c","08ada51e-ba69-4382-9705-f09e10e6c9dc","Kenneth Cole - Blue  EDT Spray 3.4 oz","Woody","",""
"f992bdf0-d35b-4513-be3e-27a6bacab111","21433cec-16f6-4598-a196-c63ad9df9f6d","Liz Claiborne - Curve Chill EDT SP 3.4 oz","Floral","",""
"9f2c588c-5355-4606-90f9-79b99e95cd02","1e70973c-7235-4ad6-a8f5-5710e2554856","Mercedes Benz - Intense 4.0 oz EDT SP","Woody","",""
"9a427299-82b1-466d-9295-eec79156f68d","127abfa7-9018-427b-926c-5dab30ef800f","MONTBLANC - Presence D’une Femme 2.5 FL. OZ","Gourmand","",""
"8596ca5c-369c-4925-a338-c3b25628bf86","3ffa1237-0383-4a58-913e-c270e5c37b7d","Nautica Men’s - Voyage 6.7 FL","Woody","",""
"ee9b7622-790a-4cfe-91aa-4c9a2bfe5413","a643a2a9-69e5-4c33-9732-cf321354b55e","Ocean - Body Wash & Shower Gel — 3 fl oz / 88 mL","Woody","",""
"652905bb-f6ea-4765-b54d-991c32d815a1","463c949d-93eb-460b-a1fe-9459038727b6","Orientica - Oud Saffron 2.8 Edp Sp U","Fresh","",""
"45fc502d-ec9a-4a77-b4fe-0ab760849341","272bd54e-8eb7-49fd-a0fc-e0d3a70a1713","Paco Rabanne - Phantom Parfum EDP","Woody","",""
"875e6072-e57a-435a-ad0c-78dc42b4b7a8","9b5918be-c341-497b-8dda-a2e9d012d4d9","Paco Rabanne - Pour Homme EDT 3.4 OZ","Woody","",""
"8948986a-c939-40bc-b95e-28e3794f77ae","16bf0134-d8d5-4b78-a964-e94f16ca9c93","Prada - Paradoxe 3.3 FL.OZ — Refill","Gourmand","",""
"f2351cd9-f553-4e3d-8382-a17c71114056","fdbea142-0229-4758-87b7-bc6ce6cd4aba","Remy Latour - Cigar Gift Set","Woody","",""
"3195d48c-9e53-4f6e-8e45-8810407012b8","5f920fd0-8750-4f18-b47a-00b404644114","Tiffany & Co - Tiffany & Love 1.7 oz EDP SP","Floral","",""
"f3a25bfc-fc90-4fd6-9d17-f0c75a429134","1c34133c-8c9c-4f3e-869c-876af60f1ef9","Tiffany & Co. - Tiffany & Co. EDP SP 1.7oz","Floral","",""
"c72c7a6e-53f3-4eae-96bf-be97c2a464c3","a6c4a976-5355-46c1-b004-0028728ca979","Versace - Yellow Diamond 1.7 EDT Set","Floral","",""
"e43aa84f-4bb4-4a57-9574-535d7390536c","c5e557fb-231b-4003-bb93-0c1d8d95585b","Viktor & Rolf - Flowerbomb Set — 1.7 & 0.34","Gourmand","",""
"ffaf98e9-eb5c-48c2-818d-b4e805a6471e","41217012-6fe8-4214-b354-e66c5da77eee","Yves Saint Laurent - L’Elixir 2.0 FL","Woody","",""
"7122f7e9-769c-4e5b-9d9d-49472885bcf8","a8a061a7-8899-475f-ab81-9463698fa747","Yves Saint Laurent - La’Nuit De L’Homme Le Parfum","Woody","",""
