handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
ap-family-burberry-weekend,PRODUCT,Weekend,TRUE,An authentic women’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-her;floral,all-fragrances,,,,Burberry,61.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,1.0 oz · Eau de Parfum;3.3 oz · Eau de Parfum;1.0 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-burberry-weekend,VARIANT,,,,,,,,,,61.00,,,,,,,1,FALSE,,,005801d4-6ff6-47ef-b41e-ddc50856c838,,,,,,,,,1.0 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-burberry-weekend,VARIANT,,,,,,,,,,112.00,,,,,,,2,FALSE,,,092c8ab2-a9bd-4391-9bcb-377b560dc518,,,,,,,,,3.3 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-burberry-weekend,VARIANT,,,,,,,,,,51.00,,,,,,,1,FALSE,,,dedfa51f-380a-4386-b58c-61cf40d2dc47,,,,,,,,,1.0 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-burberry-weekend,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/b7fe0781-d2f9-4fae-b532-8312825af61a.webp,Burberry- Weekend EDP 1.0 product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-burberry-weekend,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/d102a730-c7fd-4a4a-bf74-2e11fb5b0f72.webp,Burberry- Weekend EDP 3.3 product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-burberry-weekend,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/3a4e4d6f-4733-410d-8730-9d5d6567f3b4.webp,Burberry- Weekend EDT Spray 1.0 product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,PRODUCT,1 Million,TRUE,An authentic men’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-him;woody,all-fragrances,,,,Paco Rabanne,149.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,6.7 oz · Eau de Toilette;3.3 oz · Parfum;2.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,VARIANT,,,,,,,,,,149.00,,,,,,,3,FALSE,,,12c884dc-2af9-44b2-aa7e-4a175df9bd47,,,,,,,,,6.7 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,VARIANT,,,,,,,,,,135.00,,,,,,,4,FALSE,,,808d82ea-3e0b-419f-a81d-1f683cb1f610,,,,,,,,,3.3 oz · Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,VARIANT,,,,,,,,,,140.00,,,,,,,1,FALSE,,,be8ed277-19be-4362-ab08-526a75e56d49,,,,,,,,,2.7 oz · Eau de Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/224cdd40-d192-41d3-9d77-9f9ab25eed38.webp,Paco Rabanne Million / EDT Spray 6.7 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/b576a220-12a0-48b8-86c5-7e9024d84176.webp,Paco Rabanne Million / Parfum Spray 3.3 oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-paco-rabanne-million,MEDIA,,,,,,https://aurumprivee.com/product-images/catalog-v2/837055e1-ed2e-4f1b-921e-9766c7160dc7.webp,Paco Rabanne Million EDP sp 2.7oz product image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-antonio-banderas-diavolo,PRODUCT,Diavolo,TRUE,An authentic men’s fragrance collection selected for the Aurum Privée collection.,all-fragrances;for-him;woody,all-fragrances,,,,Antonio Banderas,55.00,,,,,,,,FALSE,,,,,,,,,,Edition,TEXT_CHOICES,6.75 oz · Eau de Toilette;1.7 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-antonio-banderas-diavolo,VARIANT,,,,,,,,,,55.00,,,,,,,1,FALSE,,,e7a36f55-8ec4-43d9-90d1-47068d1cb9aa,,,,,,,,,6.75 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap-family-antonio-banderas-diavolo,VARIANT,,,,,,,,,,30.00,,,,,,,2,FALSE,,,2286d090-4402-4a09-9ae5-bb5dfb03feed,,,,,,,,,1.7 oz · Eau de Toilette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
